Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,14,12,5,4,5,7,4,1,"1,400","1,304"
armwood-hawks,15,12,6,3,5,6,4,3,"1,615","1,480"
blake-yellow-jackets,1,23,1,10,0,9,0,4,907,"1,633"
bloomingdale-bulls,14,12,4,6,8,3,2,3,"1,523","1,470"
brandon-eagles,7,17,3,6,2,9,2,2,"1,330","1,424"
chamberlain-chiefs,16,10,5,4,7,2,4,4,"1,358","1,279"
durant-cougars,5,15,3,7,2,7,0,1,"1,188","1,358"
east-bay-indians,14,12,5,3,4,5,5,4,"1,446","1,538"
freedom-patriots,9,12,6,4,3,7,0,1,"1,052","1,096"
gaither-cowboys,4,19,1,9,2,8,1,2,992,"1,332"
hillsborough-terriers,24,4,7,3,10,0,7,1,"1,620","1,250"
jefferson-dragons,4,22,1,9,1,7,2,6,"1,186","1,583"
king-lions,13,14,5,5,6,6,2,3,"1,525","1,417"
lennard-longhorns,7,15,4,4,3,8,0,3,"1,292","1,380"
leto-falcons,2,23,1,8,0,12,1,3,858,"1,654"
middleton-tigers,4,16,2,8,2,7,0,1,"1,065","1,362"
newsome-wolves,19,6,9,1,8,2,2,3,"1,372","1,186"
plant-panthers,9,15,4,5,4,8,1,2,"1,220","1,323"
plant-city-raiders,18,10,6,3,4,5,8,2,"1,814","1,570"
riverview-sharks,0,18,0,10,0,8,0,0,850,"1,213"
robinson-knights,12,11,5,5,6,5,1,1,"1,321","1,442"
sickles-gryphons,29,4,14,0,9,2,6,2,"1,990","1,382"
spoto-spartans,11,11,6,3,5,7,0,1,"1,409","1,366"
steinbrenner-warriors,12,13,4,4,6,7,2,2,"1,406","1,461"
strawberry-crest-chargers,13,12,4,6,7,3,2,3,"1,567","1,474"
tampa-bay-tech-titans,23,1,11,0,9,1,3,0,"1,727","1,248"
wharton-wildcats,20,6,9,2,9,3,2,1,"1,589","1,034"
