Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,21,7,12,1,7,3,2,3,"1,519","1,021"
Armwood-Hawks,7,14,3,6,4,7,0,1,780,"1,001"
Blake-Yellow-Jackets,0,19,0,10,0,8,0,1,278,"1,126"
Bloomingdale-Bulls,14,10,7,3,5,5,2,2,869,835
Brandon-Eagles,15,8,8,1,6,3,1,4,"1,366",983
Chamberlain-Chiefs,7,12,3,8,4,4,0,0,560,745
Durant-Cougars,19,4,8,3,8,1,3,0,"1,055",717
East-Bay-Indians,8,15,3,6,5,5,0,4,666,989
Freedom-Patriots,17,8,7,1,6,3,4,4,"1,359","1,095"
Gaither-Cowboys,6,17,3,7,2,8,1,2,888,"1,154"
Hillsborough-Terriers,2,17,1,8,1,8,0,1,492,951
Jefferson-Dragons,5,14,3,7,2,6,0,1,578,795
King-Lions,14,6,8,2,6,4,0,0,905,643
Lennard-Longhorns,2,18,1,8,1,9,0,1,380,944
Leto-Falcons,1,19,0,10,1,9,0,0,301,"1,220"
Middleton-Tigers,12,12,4,6,6,5,2,1,837,944
Newsome-Wolves,15,10,6,3,6,6,3,1,840,668
Plant-Panthers,28,2,11,1,11,1,6,0,"1,773","1,053"
Plant-City-Raiders,3,17,1,8,2,8,0,1,358,389
Riverview-Sharks,5,18,2,7,1,10,2,1,808,"1,104"
Robinson-Knights,23,4,10,1,10,2,3,1,"1,397",802
Sickles-Gryphons,12,13,5,6,6,5,1,2,"1,127","1,059"
Spoto-Spartans,6,12,4,4,2,7,0,1,555,792
Steinbrenner-Warriors,13,13,6,6,6,5,1,2,"1,214","1,226"
Strawberry-Crest-Chargers,20,5,10,0,9,0,1,5,"1,474",844
Sumner-Stingrays,0,0,0,0,0,0,0,0,0,0
Tampa-Bay-Tech-Titans,15,14,6,3,5,6,4,5,"1,286","1,194"
Wharton-Wildcats,6,19,2,8,4,7,0,4,877,"1,177"
