Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,8,8,5,3,3,4,0,1,798,644
clearwater-tornadoes,20,3,10,0,7,1,3,2,"1,561",921
countryside-cougars,17,7,6,3,9,1,2,3,"1,148",931
dunedin-falcons,1,16,1,7,0,9,0,0,493,"1,082"
east-lake-eagles,20,7,6,1,10,3,4,3,"1,604","1,019"
gibbs-gladiators,4,12,2,7,2,5,0,0,522,991
hollins-royals,7,16,1,7,5,7,1,2,944,"1,134"
lakewood-spartans,19,10,9,2,6,3,4,5,"1,998","1,233"
largo-packers,11,8,6,4,5,4,0,0,"1,014",880
northeast-vikings,17,11,7,3,6,4,4,4,"1,512","1,126"
seminole-warhawks,6,11,1,3,4,7,1,1,577,757
osceola-warriors,0,22,0,9,0,11,0,2,269,"1,387"
st-petersburg-green-devils,10,10,5,4,5,5,0,1,900,913
palm-harbor-university-hurricanes,3,18,2,6,0,9,1,3,526,986
tarpon-springs-spongers,16,10,6,3,6,4,4,3,"1,262","1,120"
pinellas-park-patriots,3,16,1,7,2,9,0,0,626,994
keswick-christian-crusaders,24,5,12,2,9,2,3,1,"1,564",947
northside-christian-mustangs,4,17,2,3,2,11,0,3,611,964
canterbury-crusaders,4,7,3,2,1,5,0,0,266,363
calvary-christian-warriors,16,5,7,2,4,2,5,1,"1,028",894
lakeside-christian-lions,9,10,6,5,3,5,0,0,590,661
st-petersburg-catholic-barons,11,10,4,6,7,3,0,1,762,805
indian-rocks-christian-golden-eagles,7,14,4,9,2,5,1,0,682,"1,024"
clearwater-central-catholic-marauders,8,15,5,6,2,7,1,2,644,981
admiral-farragut-blue-jackets,2,5,1,4,1,1,0,0,169,213
