Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,12,6,5,2,4,4,3,0,"1,107",948
clearwater-tornadoes,12,14,6,6,4,6,2,2,"1,662","1,619"
countryside-cougars,19,8,7,0,6,5,6,3,"1,722","1,427"
dunedin-falcons,1,19,0,8,1,9,0,2,884,"1,457"
east-lake-eagles,16,10,4,2,5,5,7,3,"1,600","1,424"
gibbs-gladiators,20,7,8,2,8,4,4,1,"1,801","1,594"
hollins-royals,4,21,0,8,4,9,0,4,"1,075","1,595"
lakewood-spartans,18,7,9,3,8,2,1,2,"1,600","1,458"
largo-packers,19,9,11,2,7,2,1,5,"1,888","1,463"
northeast-vikings,14,12,6,6,4,3,4,3,"1,548","1,501"
seminole-warhawks,13,7,7,1,5,4,1,2,"1,117","1,010"
osceola-warriors,8,14,4,7,4,7,0,0,"1,184","1,315"
st-petersburg-green-devils,17,10,10,3,6,3,1,4,"1,870","1,702"
palm-harbor-university-hurricanes,11,14,7,2,3,8,1,4,"1,486","1,566"
tarpon-springs-spongers,4,22,1,8,2,11,1,3,"1,345","1,668"
pinellas-park-patriots,5,17,3,6,2,9,0,2,"1,018","1,470"
keswick-christian-crusaders,3,23,2,12,1,8,0,3,"1,168","1,607"
northside-christian-mustangs,4,15,4,8,0,7,0,0,998,"1,270"
canterbury-crusaders,22,7,7,3,11,2,4,2,"1,628","1,486"
calvary-christian-warriors,19,8,6,3,5,2,8,3,"1,802","1,446"
lakeside-christian-lions,7,13,4,6,2,7,1,0,960,"1,112"
st-petersburg-catholic-barons,4,21,1,8,3,9,0,4,978,"1,579"
indian-rocks-christian-golden-eagles,6,21,3,13,3,7,0,1,"1,276","1,710"
clearwater-central-catholic-marauders,21,5,11,2,9,2,1,1,"1,606","1,232"
admiral-farragut-blue-jackets,18,4,8,0,6,2,4,2,"1,519","1,071"
