Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca ciega pirates,78,53,32,22,32,27,14,4,8036,7382
clearwater tornadoes,102,48,47,19,33,18,22,11,9671,8099
countryside cougars,89,54,33,14,37,23,19,17,9257,8179
dunedin falcons,14,100,7,46,7,47,0,7,5342,7781
east lake eagles,124,42,42,11,45,17,37,14,11187,8578
gibbs gladiators,97,59,44,15,35,28,18,16,9155,8320
hollins royals,40,104,14,34,24,59,2,11,7273,9150
lakewood spartans,103,47,48,16,32,16,23,15,9336,7870
largo packers,83,68,41,19,26,30,16,19,9377,8504
northeast vikings,66,85,25,34,23,39,18,12,8498,9002
seminole warhawks,86,48,41,20,30,19,15,9,8054,7261
osceola warriors,49,95,23,42,22,43,4,10,7643,8893
st petersburg green devils,124,46,62,10,49,18,13,18,11429,9869
palm harbor university hurricanes,52,92,24,30,20,42,8,20,8190,9282
tarpon springs spongers,15,108,4,48,9,54,2,6,4859,7644
pinellas park patriots,33,104,18,41,12,53,3,10,7311,9229
keswick christian crusaders,56,98,32,54,23,34,1,10,8180,9418
northside christian mustangs,52,89,28,42,19,38,5,9,7852,8706
canterbury crusaders,89,77,40,29,33,27,16,21,9928,9983
calvary christian warriors,107,57,50,18,34,21,23,18,10973,9344
lakeside christian lions,75,66,36,29,34,30,5,7,7531,7353
st petersburg catholic barons,70,85,36,28,29,42,5,15,8192,8805
indian rocks christian golden eagles,23,117,12,59,10,54,1,4,6809,8876
clearwater central catholic marauders,87,62,46,28,29,28,12,6,7968,7629
admiral farragut blue jackets,82,50,36,13,28,26,18,11,8094,7073
