Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,9,7,5,3,3,3,1,1,720,751
clearwater-tornadoes,15,12,5,4,8,4,2,4,"1,396","1,108"
countryside-cougars,6,15,2,5,4,7,0,3,766,944
dunedin-falcons,1,16,1,10,0,5,0,1,552,968
east-lake-eagles,20,8,8,1,7,5,5,2,"1,364","1,141"
gibbs-gladiators,2,13,1,4,1,9,0,0,514,856
hollins-royals,11,14,7,5,4,6,0,3,"1,042","1,188"
lakewood-spartans,15,14,9,6,4,2,2,6,"1,678","1,320"
largo-packers,7,13,3,7,3,5,1,1,875,960
northeast-vikings,22,6,9,1,12,2,1,3,"1,505","1,081"
seminole-warhawks,10,12,4,6,6,5,0,1,989,"1,026"
osceola-warriors,0,16,0,7,0,9,0,0,205,882
st-petersburg-green-devils,13,9,6,3,5,5,2,1,"1,051","1,004"
palm-harbor-university-hurricanes,3,20,3,5,0,13,0,2,787,"1,267"
tarpon-springs-spongers,13,10,8,2,4,4,1,4,"1,148",978
pinellas-park-patriots,13,10,4,4,8,5,1,1,"1,347","1,178"
keswick-christian-crusaders,29,2,14,1,10,0,5,1,"1,712","1,014"
northside-christian-mustangs,7,14,2,9,5,5,0,0,539,866
canterbury-crusaders,2,9,2,4,0,5,0,0,235,447
calvary-christian-warriors,13,9,6,2,5,6,2,1,"1,072",842
lakeside-christian-lions,5,13,2,6,3,6,0,1,524,646
st-petersburg-catholic-barons,13,11,8,4,4,6,1,1,974,"1,000"
indian-rocks-christian-golden-eagles,12,14,6,9,6,3,0,2,"1,059","1,043"
clearwater-central-catholic-marauders,11,13,9,5,2,7,0,1,"1,019","1,037"
admiral-farragut-blue-jackets,6,6,3,2,2,3,1,1,465,453
